#lat,long
48.78793,8.913532
48.78793,8.913533
48.78793,8.913533
48.78793,8.913533
48.78793,8.913534
48.78792,8.913537
48.78791,8.913535
48.78788,8.913542
48.7878,8.913565
48.78776,8.913592
48.7877,8.913593
48.7877,8.913594
48.7877,8.913594
48.78767,8.913599
48.78766,8.913609
48.7876,8.913651
48.78766,8.91372
48.78766,8.913794
48.78764,8.913852
48.78762,8.913899
48.7876,8.913938
48.7876,8.913985
48.78761,8.914033
48.78763,8.914075
48.78764,8.914116
48.78765,8.914156
48.78767,8.914193
48.78769,8.914226
48.7877,8.914271
48.78775,8.91433
48.78778,8.914401
48.78781,8.914473
48.7878,8.914546
48.78786,8.914622
48.78791,8.91469
48.78797,8.914725
48.78803,8.914712
48.78808,8.914652
48.78812,8.914561
48.78817,8.914456
48.7882,8.914348
48.78828,8.914227
48.78833,8.914104
48.78839,8.913982
48.78844,8.913858
48.7885,8.913734
48.78855,8.913609
48.7886,8.913484
48.78866,8.913363
48.78871,8.913246
48.78881,8.913136
48.78887,8.912939
48.7889,8.912847
48.789,8.912766
48.78908,8.912708
48.7891,8.912671
48.78928,8.91267
48.78939,8.912708
48.7895,8.912766
48.78963,8.912817
48.7899,8.912865
48.79005,8.912941
48.79021,8.912967
48.79038,8.912988
48.79055,8.912993
48.79073,8.912993
48.7909,8.912982
48.7911,8.912952
48.79189,8.91278
48.79209,8.912746
48.79229,8.912707
48.792,8.912675
48.7927,8.912646
48.7929,8.912616
48.79311,8.912602
48.79332,8.912596
48.79353,8.912597
48.7937,8.912626
48.79394,8.912669
48.79414,8.912728
48.79434,8.912792
48.79455,8.912847
48.7947,8.912888
48.7949,8.912902
48.79516,8.912888
48.79555,8.912797
48.79575,8.912747
48.79593,8.91269
48.79611,8.912633
48.79629,8.912577
48.79647,8.912523
48.79664,8.912466
48.79699,8.912414
48.79716,8.912315
48.79733,8.912268
48.79749,8.912218
48.7976,8.912168
48.79782,8.912121
48.79814,8.912076
48.79831,8.91198
48.79848,8.911933
48.7986,8.911885
48.79881,8.911837
48.79898,8.91179
48.79916,8.911742
48.79933,8.91169
48.7995,8.911639
48.79967,8.91159
48.79985,8.911542
48.80003,8.911493
48.8002,8.911443
48.80038,8.911392
48.80055,8.911344
48.80073,8.911299
48.8009,8.911266
48.80108,8.911249
48.80127,8.911248
48.80145,8.911259
48.80163,8.911274
48.80181,8.911304
48.80199,8.911343
48.80218,8.911385
48.80236,8.91143
48.80255,8.911475
48.80273,8.911522
48.80291,8.911565
48.80309,8.911606
48.80327,8.911645
48.80345,8.911675
48.80364,8.911714
48.80383,8.911755
48.80402,8.911797
48.80421,8.911837
48.80442,8.911874
48.80462,8.911882
48.80483,8.911864
48.80523,8.911831
48.80543,8.911686
48.80562,8.91159
48.80597,8.911364
48.80613,8.911238
48.8064,8.910948
48.80662,8.910798
48.80679,8.910653
48.8069,8.910533
48.80715,8.910417
48.80733,8.910316
48.80752,8.910217
48.8077,8.910118
48.80789,8.910015
48.80807,8.909909
48.80826,8.909804
48.80845,8.909695
48.8086,8.909591
48.80884,8.909488
48.80904,8.909378
48.80923,8.909267
48.80943,8.909159
48.8096,8.90905
48.80982,8.908944
48.81002,8.908845
48.81022,8.908755
48.81042,8.908688
48.81063,8.90863
48.81083,8.908585
48.81104,8.908548
48.81124,8.908526
48.81144,8.908518
48.81164,8.908523
48.81184,8.908537
48.81203,8.908555
48.81222,8.908573
48.8124,8.90859
48.81257,8.908616
48.81274,8.908648
48.8129,8.908706
48.8132,8.908805
48.81333,8.909043
48.81345,8.909186
48.81357,8.909328
48.81368,8.909462
48.8138,8.909584
48.81391,8.9097
48.81401,8.909805
48.8141,8.909898
48.81418,8.909982
48.81425,8.910064
48.81429,8.910165
48.81432,8.910296
48.8143,8.910443
48.8143,8.910605
48.81428,8.910761
48.81426,8.910922
48.81423,8.911085
48.8142,8.91125
48.81416,8.911422
48.81413,8.9116
48.8141,8.911783
48.81406,8.91197
48.81403,8.912161
48.81399,8.912341
48.81396,8.912508
48.81394,8.912666
48.81391,8.912812
48.81389,8.912948
48.81386,8.913073
48.81384,8.91319
48.81382,8.913298
48.8138,8.913396
48.8137,8.913487
48.81376,8.913564
48.81376,8.913662
48.8137,8.91369
48.8137,8.913705
48.8137,8.913705
48.8137,8.913705
48.8137,8.913705
48.8137,8.913705
48.81375,8.913705
48.81374,8.913717
48.81373,8.913761
48.81371,8.913831
48.8137,8.913921
48.81368,8.914014
48.81366,8.914111
48.81364,8.914213
48.81362,8.914328
48.81359,8.914456
48.8135,8.914597
48.81354,8.914739
48.81352,8.914882
48.81349,8.915033
48.81347,8.915193
48.81344,8.915363
48.8134,8.915539
48.81336,8.915724
48.81331,8.915915
48.81326,8.916108
48.8132,8.916303
48.81313,8.916492
48.81304,8.916676
48.81295,8.916857
48.81286,8.917034
48.812,8.917411
48.81261,8.917611
48.81254,8.917819
48.81248,8.918039
48.81244,8.918265
48.81241,8.918495
48.8124,8.918732
48.8124,8.918971
48.81241,8.919208
48.81242,8.919438
48.8124,8.919666
48.81247,8.919895
48.81248,8.92012
48.81246,8.920569
48.81243,8.920791
48.81239,8.921009
48.81235,8.921222
48.8123,8.921429
48.81227,8.921635
48.81224,8.921842
48.8122,8.922049
48.81217,8.922245
48.81215,8.922426
48.81212,8.922584
48.8121,8.922721
48.81209,8.922836
48.81207,8.922934
48.81206,8.923014
48.81205,8.923072
48.81204,8.923114
48.81204,8.923142
48.81204,8.923156
48.81204,8.923156
48.81204,8.923156
48.81204,8.923156
48.81204,8.923156
48.81204,8.923156
48.81204,8.923156
48.81204,8.923156
48.81204,8.923156
48.81204,8.923156
48.81204,8.923156
48.81204,8.923156
48.81204,8.923156
48.81204,8.923156
48.81204,8.923156
48.81204,8.923156
48.81204,8.923156
48.81204,8.923156
48.81204,8.923156
48.81204,8.923156
48.81204,8.923156
48.81204,8.923156
48.81204,8.923156
48.81204,8.923156
48.81204,8.923156
48.81204,8.923156
48.81204,8.923156
48.81204,8.923156
48.81203,8.92317
48.812,8.923225
48.81199,8.923423
48.81197,8.923546
48.81195,8.923688
48.81192,8.92386
48.8119,8.924048
48.81187,8.924245
48.81185,8.92445
48.81182,8.924666
48.81181,8.924886
48.81179,8.925114
48.81179,8.92534
48.81179,8.925566
48.8118,8.925787
48.8118,8.926003
48.81181,8.926213
48.81182,8.926418
48.81183,8.926619
48.81185,8.926803
48.81187,8.926965
48.81188,8.92712
48.81185,8.927254
48.81179,8.927375
48.81169,8.927474
48.81158,8.927553
48.81148,8.927636
48.81139,8.927732
48.8113,8.927836
48.81122,8.927941
48.81116,8.928067
48.81111,8.928222
48.81107,8.928394
48.81103,8.928581
48.81097,8.928989
48.81094,8.929207
48.81086,8.929432
48.8108,8.929887
48.81077,8.93012
48.81073,8.930358
48.81068,8.930601
48.81064,8.930846
48.81059,8.931096
48.81054,8.931345
48.8105,8.931591
48.81046,8.931835
48.81042,8.932075
48.81038,8.932312
48.8103,8.932549
48.81029,8.932782
48.8102,8.933013
48.8102,8.933244
48.81016,8.933477
48.81012,8.933714
48.81008,8.933948
48.81004,8.93418
48.81,8.934408
48.80996,8.934631
48.80992,8.934848
48.80989,8.935062
48.8098,8.935269
48.80982,8.935469
48.80979,8.935658
48.80977,8.935826
48.80974,8.93598
48.80972,8.936128
48.80969,8.936272
48.80966,8.936416
48.80964,8.936556
48.80959,8.936689
48.80957,8.936943
48.80956,8.937073
48.80955,8.937209
48.80955,8.937354
48.80953,8.937507
48.80951,8.937666
48.80949,8.937829
48.80947,8.937991
48.80942,8.938149
48.80936,8.938562
48.80934,8.938703
48.80931,8.93885
48.80927,8.939003
48.80924,8.939164
48.80921,8.939329
48.80918,8.939496
48.8091,8.93967
48.80906,8.940022
48.80902,8.940194
48.80899,8.940367
48.80897,8.940535
48.80894,8.94069
48.80891,8.940839
48.80888,8.940984
48.80885,8.941131
48.80883,8.94128
48.8088,8.941433
48.80877,8.941588
48.80875,8.941743
48.80873,8.941892
48.8087,8.942035
48.80868,8.942176
48.80866,8.942318
48.80864,8.94246
48.80862,8.942599
48.8086,8.942741
48.80858,8.942883
48.80856,8.94302
48.80854,8.943138
48.80851,8.943228
48.80848,8.94329
48.80843,8.943316
48.80838,8.943315
48.80834,8.943259
48.80828,8.943146
48.80821,8.943017
48.80814,8.942889
48.80807,8.942767
48.808,8.942662
48.8079,8.942586
48.80788,8.942551
48.80788,8.942518
48.80787,8.942518
48.80786,8.942514
48.80783,8.942512
48.80777,8.942512
48.80771,8.942517
48.80764,8.942528
48.80757,8.942538
48.80751,8.942543
48.80745,8.942533
48.80739,8.942515
48.80733,8.942493
48.80727,8.942469
48.80715,8.942423
48.8071,8.942402
48.807,8.942381
48.807,8.942362
48.80695,8.942345
48.80691,8.942328
